MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60576.159271,i,17.618,0.063,negative,,
60576.136146,g,20.494,,limit,-2.9,2.6
60575.239028,i,17.638,0.082,negative,-359.1,5.5
60575.178588,r,20.352,,limit,4.2,3.2
60575.134109,g,20.513,,limit,-3.7,2.4
60571.279016,g,18.968,,limit,-1.2,11.6
60571.197870,r,19.376,,limit,-0.1,7.8
60568.281690,g,19.353,,limit,-10.2,8.3
60568.199526,r,19.984,,limit,3.8,4.5
60566.301030,g,18.998,,limit,,
60566.181944,r,19.953,,limit,-1.1,4.4
60563.300382,g,16.808,,limit,,
60561.291331,r,19.880,,limit,7.2,5.1
60561.262442,g,20.025,,limit,1.3,4.6
60558.242199,g,20.328,,limit,-1.4,3.2
60558.196863,r,20.393,,limit,7.2,3.0
60556.218449,g,20.380,,limit,3.3,3.1
60556.180289,r,20.444,,limit,2.0,3.1
60554.234977,g,20.441,,limit,-0.8,2.9
60554.183368,r,20.534,,limit,1.0,2.9
60552.277349,g,20.302,,limit,-3.5,3.2
60552.239907,r,20.264,,limit,-5.9,3.7
60550.263287,g,20.325,,limit,-1.7,3.2
60550.222731,r,20.510,,limit,4.8,3.0
60548.347674,r,19.854,,limit,0.1,5.2
60548.301887,g,20.053,,limit,1.6,4.1
60546.239363,r,19.913,,limit,1.6,5.0
60438.352338,i,17.639,0.047,negative,,
60437.433310,g,20.564,,limit,-1.2,2.5
60437.389514,r,20.407,,limit,2.5,3.3
60437.369340,i,17.611,0.050,negative,-334.7,5.6
60436.452894,r,20.133,,limit,4.1,3.9
60436.407257,g,20.378,,limit,0.2,3.1
60433.454988,r,20.811,,limit,3.1,2.4
60433.387859,g,20.930,,limit,-2.1,1.9
60430.401343,r,20.540,,limit,0.4,2.7
60430.365995,g,20.450,,limit,-2.4,2.7
60428.431412,g,19.925,,limit,-0.9,4.6
60422.387743,r,19.830,,limit,0.1,4.8
60422.346146,g,19.616,,limit,0.9,6.1
60419.412234,r,19.923,,limit,0.8,4.8
60419.340718,g,19.893,,limit,-5.4,4.7
60417.408252,g,20.242,,limit,-0.3,3.1
60417.387870,r,20.420,,limit,-1.2,3.1
60413.471713,g,20.518,,limit,-5.9,2.9
60413.409340,r,20.438,,limit,1.6,3.2
58430.131782,g,20.046,0.199,positive,,
58430.095580,r,20.136,,limit,,
58427.151640,g,19.474,,limit,,
58427.091620,r,19.357,,limit,,
58423.081720,r,19.842,,limit,,
58390.116748,g,19.614,0.116,positive,,
58387.201389,g,19.504,0.181,positive,,
58381.180532,g,19.627,0.165,positive,,
58381.136759,r,19.721,0.168,positive,,
58377.264282,g,19.471,0.143,positive,,
58377.133924,r,19.414,0.113,positive,,
58374.221296,g,19.535,0.153,positive,,
58374.181204,r,19.440,0.099,positive,,
58371.241493,g,19.397,0.122,positive,,
58371.157604,r,19.356,0.086,positive,,
58368.263414,g,19.365,0.106,positive,,
58368.177951,r,19.275,0.098,positive,,
58365.260162,g,19.210,0.095,positive,,
58365.180544,r,19.165,0.110,positive,,
58362.196412,g,19.286,0.112,positive,,
58362.178634,r,19.064,0.083,positive,,
58359.199526,r,19.048,0.101,positive,,
58356.267060,r,19.092,0.118,positive,,
58356.204931,r,18.950,0.113,positive,,
58352.348218,g,19.004,0.128,positive,,
58352.219016,r,18.859,0.108,positive,,
58349.244468,r,18.768,0.093,positive,,
58349.220393,g,19.098,0.095,positive,,
58346.327164,g,19.017,0.106,positive,,
58343.330266,r,18.585,0.085,positive,,
58343.311852,g,19.060,0.098,positive,,
58340.344178,g,18.858,0.175,positive,,
58340.178160,r,18.462,0.091,positive,,
58337.364549,g,18.897,0.083,positive,,
58337.330243,r,18.420,0.058,positive,,
58334.345845,r,18.317,0.075,positive,,
58334.305660,g,18.885,0.079,positive,,
58331.279063,g,18.886,0.105,positive,,
58331.201389,r,18.215,0.046,positive,,
58328.185058,g,18.682,0.078,positive,,
58325.242951,r,18.067,0.059,positive,,
58325.200151,g,18.799,0.112,positive,,
58322.285567,r,17.952,0.046,positive,,
58322.224375,g,18.665,0.089,positive,,
58319.364537,g,18.633,0.096,positive,,
58316.244051,r,17.652,0.094,positive,,
58313.246482,g,18.587,0.039,positive,,
58310.392118,r,17.614,0.060,positive,,
58300.451771,g,18.137,0.074,positive,,
58297.323183,r,16.818,0.045,positive,,
58293.350301,g,17.610,0.051,positive,,
58293.255694,r,16.609,0.049,positive,,
58290.331551,r,16.578,0.040,positive,,
58290.221493,g,17.347,0.038,positive,,
58287.267315,r,16.531,0.008,positive,,
58284.369954,g,16.631,0.077,positive,,
58284.321412,r,16.478,0.011,positive,,
58281.341771,r,16.413,0.008,positive,,
58281.283032,g,16.608,0.007,positive,,
58278.367257,g,16.381,0.006,positive,,
58278.307222,r,16.268,0.007,positive,,
58275.390822,r,16.079,0.006,positive,,
58272.500000,g,15.967,0.006,positive,,
58272.500000,r,15.853,0.006,positive,,
58269.500000,r,15.749,0.006,positive,,
58269.250000,g,15.841,0.008,positive,,
58266.500000,g,15.793,0.008,positive,,
58266.250000,r,15.718,0.007,positive,,
