ZTFID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V,host_redshift
ZTF17aabtvsy,SN2022yei,10:35:32.09,+37:38:59.0,59870.49,r,18.0303,-19.41,>34.229,>6.01,28.219,SN Ia,0.06922,59.64196211,0.053,0.069222
ZTF17aabvong,SN2024xxq,02:05:07.68,+11:14:55.1,60606.25,g,16.8039,-19.57,23.222,8.464,14.758,SN Ia,0.034,-47.66406422,0.446,0.034
ZTF17aacldgo,SN2022zxv,03:09:24.36,-04:53:39.2,59897.25,g,18.7979,-18.91,>1077,>3.85,>1073.15,SN Ia,0.072,-50.33247172,0.183,0.072
ZTF17aadlxmv,SN2020adv,08:29:47.59,+33:54:22.8,58879.19,g,17.9475,-19.34,25.146,10.951,14.195,SN Ia,0.062,34.17470168,0.106,0.062
ZTF18aaaonon,SN2022jjs,10:19:05.51,+14:24:16.6,59703.27,g,18.5663,-19.08,>18.631,3.691,>14.94,SN Ia,0.07141,52.36391086,0.15,0.071419
ZTF18aaaooqj,SN2025ack,10:38:37.35,+08:58:33.4,60699.46,r,18.2772,-18.5,>28.563,>5.08,23.483,SN Ia,0.05065,53.77480374,0.08,0.050658
ZTF18aaaqexr,SN2020chl,11:43:06.37,+15:34:01.7,58891.42,g,18.4475,-19.1,17.228,5.46,11.768,SN Ia,0.0702,70.3707198,0.101,0.0702
ZTF18aadlaxo,SN2021deo,08:02:35.75,+50:55:21.1,59266.15,g,18.1923,-18.77,18.513,10.675,7.838,SN Ia,0.05295,31.69394135,0.129,0.052953
ZTF18aadxnul,SN2021yzs,06:34:01.85,+43:24:32.5,59469.47,r,18.5574,-19.02,>9.185,6.165,>3.02,SN Ia,0.064,15.32507954,0.424,0.064
ZTF18aadzfso,SN2020biz,07:07:17.67,+43:18:59.1,58892.28,r,18.4235,-18.49,24.772,13.835,10.937,SN Ia,0.05,20.95187636,0.279,0.05
ZTF18aaeqjmc,SN2023xhc,07:41:58.63,+23:10:35.3,60261.46,g,17.3172,-19.2,>34.898,>3.97,30.928,SN Ia,0.043,21.00338557,0.135,0.043
ZTF18aaermez,SN2019abh,10:12:42.89,+39:22:26.0,58514.41,r,17.3285,-17.67,24.413,4.469,19.944,SN Ia,0.02284,54.95945207,0.039,0.022846
ZTF18aafdigb,SN2023uxa,07:07:00.42,+27:04:08.2,60233.49,r,18.4717,-18.85,>26.614,>8.09,18.524,SN Ia,0.063,15.14711644,0.158,0.063
ZTF18aagkwgz,SN2024vsi,06:52:55.81,+27:21:57.6,60592.45,r,17.4351,-18.82,>28.458,>20.02,8.438,SN Ia,0.03775,12.40095195,0.231,0.0377589986
ZTF18aagtwyh,SN2021oud,12:39:41.92,+16:32:16.5,59384.2,r,18.313,-19.04,>26.011,14.991,>11.02,SN Ia,0.06604,79.06621488,0.067,0.066041
ZTF18aahfbqp,SN2020acua,10:26:42.84,+21:43:26.1,59205.43,g,16.97,-19.37,20.957,4.924,16.033,SN Ia,0.04136,56.73218181,0.063,0.041362
ZTF18aahtjsc,SN2019cdd,11:16:49.23,+46:54:39.6,58575.24,r,18.0957,-18.75,>19.975,7.985,>11.99,SN Ia,0.0529,62.86097161,0.047,0.0529
ZTF18aahvndq,SN2020jhf,13:14:53.44,+27:00:31.1,58991.3,g,15.3851,-18.76,25.573,7.694,17.879,SN Ia,0.01537,84.77817759,0.035,0.015371
ZTF18aailmnv,SN2018ebo,14:16:48.49,+58:29:07.4,58324.28,g,18.1829,-19.57,23.992,6.743,17.249,SN Ia,0.08,55.28933797,0.027,0.08
ZTF18aaisqmw,SN2020acqt,11:45:25.80,+55:31:37.0,59203.51,r,18.1838,-18.65,20.592,8.637,11.955,SN Ia,0.0527,59.19449595,0.039,0.0527
ZTF18aaiwzie,SN2023bfv,14:54:56.07,+29:50:04.4,59987.5,r,18.627,-19.3,35.283,13.113,22.17,SN Ia,0.086,62.80863336,0.053,0.086
ZTF18aaiykoz,SN2020mcc,15:57:59.50,+40:02:02.1,59025.24,g,16.0541,-19.6,25.142,10.795,14.347,SN Ia,0.0305,49.56850401,0.043,0.031021
ZTF18aaizerg,SN2019zbj,14:38:47.57,+50:06:09.8,58856.57,r,18.3945,-19.04,24.507,14.803,9.704,SN Ia,0.0685,59.22561677,0.073,0.068396
ZTF18aajivpr,SN2020gaa,11:56:46.90,+52:29:01.9,58956.29,r,18.2865,-18.51,22.584,10.642,11.942,SN Ia,0.0515,62.66397945,0.061,0.051518
ZTF18aajkcdn,SN2022abfd,11:36:04.83,+29:41:54.5,59909.49,g,18.4953,-18.95,>19.024,5.034,>13.99,SN Ia,0.06818,73.25138609,0.066,0.068184
ZTF18aajkrxi,SN2022fus,12:01:09.92,+29:17:20.6,59683.3,g,18.3146,-19.48,24.482,11.698,12.784,SN Ia,0.08027,78.72184861,0.06,0.08027
ZTF18aajpjdi,SN2018bfx,13:18:06.62,+27:52:24.2,58245.21,r,18.4652,-19.13,39.856,18.904,20.952,SN Ia,0.0746,84.03940648,0.04,0.0746
ZTF18aajvqye,SN2023mqn,17:10:52.63,+39:36:40.1,60140.29,g,17.8701,-19.55,22.794,8.877,13.917,SN Ia,0.06477,35.59186809,0.136,0.0647708
ZTF18aakitiq,SN2025ndx,14:09:55.90,+61:41:19.6,60844.33,r,17.3619,-18.68,20.915,10.026,10.889,SN Ia,0.03671,53.03599627,0.045,0.036713
ZTF18aakiwbs,SN2020fqi,15:17:36.64,+57:11:05.9,58953.44,r,18.2404,-19.08,23.154,14.254,8.9,SN Ia,0.066,50.41794806,0.035,0.066
